,word,counts
0,issu,4
1,div,3
2,heal,3
3,happen,3
4,realism,2
5,window,2
6,box,2
7,pretti,2
8,detail,2
9,bug,2
10,result,2
11,reproduc,2
12,context,1
13,evan,1
14,super,1
15,mario,1
16,honest,1
17,throw,1
18,fun,1
19,factor,1
20,persuad,1
21,jame,1
22,offici,1
23,discord,1
24,launch,1
25,ping,1
26,leav,1
27,hive,1
28,replac,1
29,radius,1
30,tick,1
31,delay,1
32,amount,1
33,constant,1
34,skill,1
35,talent,1
36,pay,1
37,rent,1
38,allright,1
39,ingam,1
40,charact,1
41,devic,1
42,informationissu,1
43,wrong,1
44,type,1
45,gameplay,1
46,ui,1
47,menu,1
48,visual,1
49,auditori,1
50,environ,1
51,descript,1
52,hand,1
53,expect,1
54,experi,1
55,step,1
56,relev,1
57,caus,1
58,confirm,1
59,staff,1
60,crossreferenc,1
61,report,1
62,fix,1
63,pictur,1
64,guess,1
65,send,1
66,sieg,1
67,communiti,1
68,toxic,1
69,avoid,1
70,random,1
71,feedback,1
72,hey,1
73,screen,1
74,treat,1
75,reward,1
76,train,1
77,prefer,1
78,cat,1
79,kid,1
80,hour,1
81,sleep,1
82,eat,1
83,poop,1
84,melt,1
85,phone,1
