,word,counts
0,phone,4
1,heal,3
2,test,3
3,feel,3
4,sound,2
5,fun,2
6,gregg,2
7,told,2
8,stori,2
9,hope,2
10,door,2
11,ubi,2
12,depend,2
13,shield,2
14,grenad,2
15,launcher,2
16,voic,2
17,act,2
18,run,2
19,watch,2
20,build,1
21,abt,1
22,mess,1
23,div,1
24,hitman,1
25,rework,1
26,mechan,1
27,origin,1
28,dlc,1
29,honesti,1
30,monet,1
31,endgam,1
32,immort,1
33,bearabl,1
34,incom,1
35,bug,1
36,report,1
37,pendingdarkhirosrog,1
38,gbthe,1
39,happen,1
40,mission,1
41,elev,1
42,interact,1
43,launch,1
44,glyce,1
45,imposs,1
46,teleport,1
47,start,1
48,againth,1
49,fight,1
50,remain,1
51,stuck,1
52,crosshair,1
53,mode,1
54,reset,1
55,everyday,1
56,streak,1
57,pc,1
58,mobil,1
59,super,1
60,wait,1
61,set,1
62,class,1
63,td,1
64,god,1
65,damn,1
66,broken,1
67,bullet,1
68,king,1
69,lmg,1
70,eh,1
71,sad,1
72,miss,1
73,special,1
74,apk,1
75,dz,1
76,heali,1
77,boi,1
78,strong,1
79,samsung,1
80,fe,1
81,sete,1
82,low,1
83,crash,1
84,min,1
85,hit,1
86,engin,1
87,rush,1
88,st,1
89,prior,1
90,care,1
91,knowledg,1
92,divi,1
93,inch,1
94,deep,1
95,relea,1
96,weird,1
97,janki,1
98,quest,1
99,storylin,1
100,decent,1
101,exact,1
102,charact,1
103,job,1
104,close,1
105,android,1
106,button,1
107,bg,1
108,bk,1
109,compar,1
110,wasp,1
111,exot,1
112,fair,1
113,pay,1
114,rent,1
115,leav,1
116,regist,1
117,alpha,1
118,spider,1
119,front,1
120,rid,1
121,fruit,1
122,fli,1
123,codm,1
124,satisfi,1
125,outcom,1
126,devic,1
127,shot,1
128,tonight,1
129,tomorrow,1
130,chang,1
131,custom,1
132,innit,1
133,bruw,1
134,account,1
135,manag,1
136,hold,1
137,imma,1
138,funneh,1
139,enginn,1
140,tf,1
141,smile,1
142,pictur,1
143,messag,1
144,gab,1
145,skill,1
146,wan,1
147,roulett,1
148,invit,1
149,galaxi,1
150,user,1
151,gib,1
152,bad,1
