,Date,一星,二星,三星,四星,五星
0,2020-09-28,3838,907,1408,2014,16925
1,2020-09-29,2189,512,989,1836,15330
2,2020-09-30,1690,445,805,1475,12218
3,2020-10-01,1367,338,611,1185,9808
4,2020-10-02,1301,365,640,1241,9774
