发文时间,发布者id,发布者名字,内容信息,被提及人,频道
2022-08-01T15:39:01.329000+00:00,620231365199265793,battlebot579,"I think that the controllers just happen to work, bc the general game control is intuitive, but the menus will need setting up by the team",jestmi,feedback-and-bugs
2022-08-01T15:37:40.926000+00:00,493391384099684382,Falail81,Why...U need Space?I think we become a next Testphase early 😋,𝓡𝓪𝓲𝓿𝔂,general-chat
2022-08-01T15:36:08.637000+00:00,401536937078423552,Ghoul,Unless you have serious troubles with data limits i would suggest you delete it 🙂,,general-chat
2022-08-01T15:35:01.399000+00:00,401536937078423552,Ghoul,It's just a waste of space at this moment,,general-chat
2022-08-01T15:34:43.051000+00:00,447737584152608768,𝓡𝓪𝓲𝓿𝔂,should we uninstall the game?,,general-chat
2022-08-01T15:29:05.077000+00:00,401536937078423552,Ghoul,I just climbed the walls with my trusty portable cover 😄,,general-chat
2022-08-01T15:28:27.022000+00:00,401536937078423552,Ghoul,"Well thechnically yes, but it was complete emptyness and you get TP'd to the BoO instantly 😄",,general-chat
2022-08-01T15:28:23.916000+00:00,240192175986573313,jestmi,Probably why the devs didn't take out whatever controller support they already had out of the game before the alpha.,Kaleb26,feedback-and-bugs
2022-08-01T15:28:08.151000+00:00,520265682709905429,Kaleb26,haha yeah that too lol,,feedback-and-bugs
2022-08-01T15:27:57.528000+00:00,542356858678280192,perry.bad,You could get into the DZ?,,general-chat
2022-08-01T15:27:52.782000+00:00,401536937078423552,Ghoul,and you didnt burn your fingers 😄,Kaleb26,feedback-and-bugs
2022-08-01T15:27:29.030000+00:00,160521135363063809,Jord,As is life my friend,,general-chat
2022-08-01T15:27:14.116000+00:00,401536937078423552,Ghoul,But other then that there was nothing 😦,,general-chat
2022-08-01T15:27:01.148000+00:00,401536937078423552,Ghoul,"I just hope there is more to explore 😄 Went to Camp Hudson, Times Square and DZ 😄",,general-chat
2022-08-01T15:26:49.745000+00:00,160521135363063809,Jord,Yeah like what was that 😂 if i wanna play on 30fps i will go onto console and gouge my eyes outb,,general-chat
2022-08-01T15:26:19.356000+00:00,542356858678280192,perry.bad,60FPS mode would be nice too!,,general-chat
2022-08-01T15:26:01.309000+00:00,160521135363063809,Jord,"Maybe , maybe not Remember they dont want to give too much away",,general-chat
2022-08-01T15:25:59.663000+00:00,520265682709905429,Kaleb26,even if it wasnt fully supported the game was much more enjoyable with a controller,,feedback-and-bugs
2022-08-01T15:25:34.499000+00:00,542356858678280192,perry.bad,Hope there is more content to try with the next tests.,,general-chat
2022-08-01T15:24:22.049000+00:00,160521135363063809,Jord,Drag scoping heads like crazy,,general-chat
2022-08-01T15:24:16.260000+00:00,542356858678280192,perry.bad,Just had to hold shoot,,general-chat
2022-08-01T15:23:56.361000+00:00,542356858678280192,perry.bad,Like aim assist actively tracking enemies until they die lol,,general-chat
2022-08-01T15:23:53.628000+00:00,160521135363063809,Jord,Ahh so you had aimbot like with gamepad and i had aimbot like moves with a sniper on touch controls 😂,,general-chat
2022-08-01T15:23:45.586000+00:00,401536937078423552,Ghoul,my screen was not wide enough 😄,perry.bad,general-chat
2022-08-01T15:23:18.045000+00:00,542356858678280192,perry.bad,"The aim assist was nuts on the gamepad, almost like an aimbot for me using an SMG.",,general-chat
2022-08-01T15:22:45.561000+00:00,160521135363063809,Jord,I couldnt use my xbox controller for some reason,,general-chat
2022-08-01T15:22:06.826000+00:00,542356858678280192,perry.bad,Felt with touch screen it was a bit more tough and felt a bit more of a struggle.,,general-chat
2022-08-01T15:21:42.837000+00:00,542356858678280192,perry.bad,I didn't see that. I was using an xbox pad and I think personally the game is too easy with a gamepad.,,general-chat
2022-08-01T15:20:47.930000+00:00,160521135363063809,Jord,Did you get it were youd close the game Go back into it and like 5 enemies spawned right next to you against a wall ?,,general-chat
2022-08-01T15:20:11.993000+00:00,542356858678280192,perry.bad,Yeah literally not even using cover just running around like a lunatic and spawn camping NPCs lol,,general-chat
2022-08-01T15:19:47.253000+00:00,160521135363063809,Jord,Everything was already easy lol,,general-chat
2022-08-01T15:19:39.717000+00:00,542356858678280192,perry.bad,Destroyed the heroic missions at level 21 solo.,,general-chat
2022-08-01T15:19:39.471000+00:00,160521135363063809,Jord,Green level 12 sniper with silencer and zoom scope 😅,,general-chat
2022-08-01T15:19:13.515000+00:00,542356858678280192,perry.bad,All I did was unlock the LVOA-C and then everything was easy.,,general-chat
2022-08-01T15:18:27.574000+00:00,160521135363063809,Jord,I literally went through the whole first play with a sniper and touch controls 😂 mate i tore ass up,,general-chat
2022-08-01T15:17:26.578000+00:00,652604052873412609,PorterEva,who said that?*goes heroic and hipfires like crazy*,,general-chat
2022-08-01T15:17:18.041000+00:00,160521135363063809,Jord,But good idea to buy one for full release tho,,general-chat
2022-08-01T15:17:02.331000+00:00,160521135363063809,Jord,Controllers arent supported in the alphas dude,Jesperbx16v,general-chat
2022-08-01T15:16:27.199000+00:00,293469042428215297,Jesperbx16v,I hope to get in next test as well. I will be getting a bt controller to be better at playing.,,general-chat
2022-08-01T15:15:28.804000+00:00,652604052873412609,PorterEva,"you got that Phoenix DNA in ya, Agent lol",,general-chat
2022-08-01T15:08:59.712000+00:00,160521135363063809,Jord,Okay but just so you know : i play by last man standing rules Good luck may the odds be in favour of the winner,,general-chat
2022-08-01T15:08:42.344000+00:00,620231365199265793,battlebot579,yeah thats because the alpha doesnt have controller support officially 😂,dauerburner,feedback-and-bugs
2022-08-01T15:08:20.826000+00:00,232563159976640522,dauerburner,Controller support wasn't working in all menus for me,,feedback-and-bugs
2022-08-01T15:05:33.533000+00:00,401536937078423552,Ghoul,"the pain in his eyes, beautifull ❤️",,feedback-and-bugs
2022-08-01T15:05:20.775000+00:00,401536937078423552,Ghoul,https://clips.twitch.tv/RacyQuaintPidgeonVoHiYo-VqWDCI6NlsOTAUNP,,feedback-and-bugs
2022-08-01T15:03:23.243000+00:00,401536937078423552,Ghoul,"yeah, like that guy who thought he beat the final boss of elden ring after 250+ tries... And then he found out about the second phase 😄",,feedback-and-bugs
2022-08-01T15:01:33.637000+00:00,620231365199265793,battlebot579,"And you think you have won but, oh wait this is From Software, so you always lose",,feedback-and-bugs
2022-08-01T15:01:00.966000+00:00,620231365199265793,battlebot579,From Software has to remind you that this is a From Software game and nothing is ever easy,Ghoul,feedback-and-bugs
2022-08-01T15:00:51.505000+00:00,640552808864546828,LukeD,Mwuhahaha,,general-chat
2022-08-01T15:00:39.210000+00:00,640552808864546828,LukeD,Who said anything about being alive?,Jord,general-chat
2022-08-01T14:45:02.070000+00:00,401536937078423552,Ghoul,https://tenor.com/view/track-him-find-him-kill-him-bring-him-to-me-get-him-gif-15743207,,general-chat
2022-08-01T14:43:52.649000+00:00,401536937078423552,Ghoul,"I dont think any build has too many issues with killing big bosses(ran 2 builds myself), maybe from challeging upwards they got a bit more time consuming, but never ""From software"" hard 😄",,feedback-and-bugs
2022-08-01T14:40:20.318000+00:00,379941526589145088,lolo-_-guitarra,I've be able to kill a Big Boss without  problems. It's broken,,feedback-and-bugs
2022-08-01T14:39:38.592000+00:00,620231365199265793,battlebot579,"It will be the only way you can play, which is not what the developers want",Ghoul,feedback-and-bugs
2022-08-01T14:38:50.171000+00:00,401536937078423552,Ghoul,But it is fun this way!,battlebot579,feedback-and-bugs
2022-08-01T14:35:37.561000+00:00,615969175864868877,Riggy Gaming,🤣,,general-chat
2022-08-01T14:33:00.322000+00:00,160521135363063809,Jord,🤣youll never take me alive,,general-chat
2022-08-01T14:32:07.750000+00:00,640552808864546828,LukeD,lol,,general-chat
2022-08-01T14:32:04.257000+00:00,640552808864546828,LukeD,Nice knowing ya! 😄,,general-chat
2022-08-01T14:31:57.170000+00:00,640552808864546828,LukeD,"I'm sorry, if the sun can reach your phone then you must be banned",,general-chat
2022-08-01T14:28:20.258000+00:00,160521135363063809,Jord,Always open tho due to my fan pulling air to keep the room cool,,general-chat
2022-08-01T14:27:09.511000+00:00,160521135363063809,Jord,I have blinds and sun blocker curtains 😅,,general-chat
2022-08-01T14:25:07.032000+00:00,640552808864546828,LukeD,"Yes, this",,general-chat
2022-08-01T14:24:54.033000+00:00,160521135363063809,Jord,https://tenor.com/view/think-about-it-use-your-brain-use-the-brain-think-brain-gif-7914082,,general-chat
2022-08-01T14:24:48.489000+00:00,640552808864546828,LukeD,😛,,general-chat
2022-08-01T14:24:44.367000+00:00,640552808864546828,LukeD,Big brain,,general-chat
2022-08-01T14:24:40.548000+00:00,640552808864546828,LukeD,Can't shut the curtains if you don't have curtains,Jord,general-chat
2022-08-01T14:24:11.535000+00:00,160521135363063809,Jord,Aint gonna tell me what i do in my own house 😂unless they wanna pay some rent I aint doing nothing to my room,,general-chat
2022-08-01T14:23:36.322000+00:00,615969175864868877,Riggy Gaming,🤣,,general-chat
2022-08-01T14:23:32.571000+00:00,160521135363063809,Jord,They can try 😊,battlebot579,general-chat
2022-08-01T14:23:12.857000+00:00,620231365199265793,battlebot579,https://tenor.com/view/simon-cowell-look-stare-red-eyes-laser-gif-12692635,,general-chat
2022-08-01T14:23:08.070000+00:00,620231365199265793,battlebot579,otherwise ubi gonna be comin for ya,,general-chat
2022-08-01T14:22:56.112000+00:00,615969175864868877,Riggy Gaming,Lol,,general-chat
2022-08-01T14:22:50.303000+00:00,620231365199265793,battlebot579,gotta be thorough man 😂,Jord,general-chat
2022-08-01T14:22:20.993000+00:00,615969175864868877,Riggy Gaming,He even slaps me if I don't show him it,,general-chat
2022-08-01T14:22:20.704000+00:00,160521135363063809,Jord,Lol my rooms on second floor Bit of a stupid thing to put into an NDA 🤣,,general-chat
2022-08-01T14:22:08.907000+00:00,615969175864868877,Riggy Gaming,But my cat loves watching the virtual violence,,general-chat
2022-08-01T14:21:57.714000+00:00,620231365199265793,battlebot579,or dog in my case,,general-chat
2022-08-01T14:21:41.936000+00:00,620231365199265793,battlebot579,yeah you have to shut the door close the curtains nobody can watch not even the cat,Jord,general-chat
2022-08-01T14:20:46.143000+00:00,620231365199265793,battlebot579,LMGs and snipers are gonna need to be taken off of shields otherwise that will be broken,lolo-_-guitarra,feedback-and-bugs
