,0,1
413,instant,1
414,creativity,2
415,training,6
416,scholarships,6
417,excellence,2
418,krw,2
419,money/team,1
420,encouragement,5
421,meetings,10
422,carbon,4
423,conference,41
424,growth,33
425,goal,7
426,gdp,3
427,achieve,29
428,interview,47
429,introduced,163
430,looked,20
431,stable,10
432,conferences,9
433,party,133
434,recovery,12
435,policies,17
436,economy,104
437,increases,1
438,livelihood,5
439,convenience,9
440,reduction,2
441,live,9
442,green,12
443,path,10
444,double,2
445,president-elect,3
446,partner,17
447,leaders,53
448,office,48
449,rok-china,9
450,march,83
451,prevented,5
452,message,14
453,opinions,31
454,neighbor,7
455,joint,61
456,efforts,79
457,governments,22
458,developed,56
459,dramatically,5
460,fields,89
461,substantial,2
462,positive,88
463,ethnic,6
464,nation,17
465,unity,4
466,sense,8
467,cpc,4
468,ensure,3
469,central,43
470,mongolia,2
471,stability,36
472,epidemic,49
473,control,15
474,fostering,1
475,stressed,3
476,philosophy,5
477,carried,8
478,emissions,2
479,high-quality,2
480,forward,18
481,self-governance,1
482,border,1
483,founding,41
484,era,34
485,leadership,26
486,maintain,15
487,autonomous,11
488,delegation,96
489,education,69
490,stick,1
491,american,5
492,indian,3
493,indians,1
494,u.s.,1
495,native,2
496,americans,1
497,genocide,1
498,tribes,1
499,children,14
500,white,2
501,reservations,1
502,forced,2
503,land,5
504,rate,4
505,tribal,1
506,women,43
507,reservation,1
508,health,20
509,population,3
510,schools,9
511,massacre,1
512,average,2
513,living,39
514,system,34
515,result,3
516,creek,1
517,communities,3
518,boarding,3
519,individual,4
520,conditions,10
521,forcibly,1
522,rights,13
523,assimilation,1
524,war,24
525,soldiers,3
526,olympics,19
527,hwang,21
528,beijing,36
529,winter,21
530,sincere,9
531,medal,2
532,congratulations,11
533,dae-heon,1
534,february,80
535,daeheon,1
536,won,24
537,1500m,1
538,short,5
539,track,3
540,response,38
541,send,11
542,behalf,49
543,convey,2
544,positively,66
545,evaluated,62
546,outstanding,15
547,skills,8
548,demonstrating,9
549,reason,2
550,olympic,10
551,games,3
552,infinite,1
553,appeal,1
554,level,24
555,faster,3
556,vigorous,1
557,athletes,4
558,rules,4
559,skating,1
560,federation,20
561,feelings,5
562,politicians,2
563,interfere,1
564,paying,5
565,attention,15
566,suspicions,2
567,biased,1
568,judgment,2
569,race,4
570,technical,2
571,issue,18
572,decided,5
573,professional,3
574,authoritative,3
575,institution,3
576,arrows,1
577,fueled,1
578,anti-chinese,1
579,korean-chinese,36
580,costumes,1
581,'cultural,1
582,plunder,1
583,events,20
584,peninsula,43
585,share,14
586,belongs,1
587,respects,1
588,wore,1
589,attend,17
590,speculates,1
591,criticizes,1
592,paid,6
593,netizens,1
594,dissatisfied,1
595,position,20
596,multi-ethnic,1
597,concert,9
598,singers,1
599,festival,21
600,success,9
601,seoul,220
602,celebrate,24
603,young-gil,19
604,music,8
605,applause,5
606,songs,6
607,han-russian,1
608,spring,16
609,center,78
610,ajou,10
611,news,23
612,corporation,16
613,successful,18
614,hosting,14
615,democratic,17
616,jun-seok,3
617,kwak,15
618,east,13
619,institute,60
620,belt,15
621,road,22
622,tangible,1
623,december,52
624,2nd,25
625,high-level,16
626,combined,1
627,offline,6
628,format,1
629,shinhwasa,1
630,researcher,1
631,heping,1
632,xinhua,4
633,xubu,1
634,studies,21
635,choi,51
636,jae-chun,2
637,hong,88
638,do-do,1
639,joongang,20
640,cha,3
641,hong-gyu,1
642,smooth,9
643,support,104
644,famous,24
645,painter,1
646,art,30
647,donated,31
648,paintings,5
649,theme,20
650,prayed,1
651,express,10
652,blessing,3
653,grand,25
654,enthusiasts,1
655,firmly,13
656,oppose,2
657,politics,26
658,wished,4
659,host,4
660,continued,27
661,communist,38
662,historical,16
663,plenary,10
664,19th,19
665,sungkyun,2
666,seminar,7
667,struggle,2
668,viewpoint,1
669,comrade,1
670,core,4
671,socialism,5
672,characteristics,12
673,experts,19
674,academy,22
675,sciences,5
676,peking,4
677,strategy,19
678,labor,3
679,employment,3
680,commission,8
681,leads,1
682,expected,7
683,billion,16
684,day,136
685,seong-hyeon,1
686,handling,2
687,disputes,2
688,holding,6
689,regular,6
690,seminars,2
691,facilitating,3
692,visits,3
693,spirit,13
694,session,20
695,goseong-gun,1
696,myeong-jun,1
697,ham,3
698,november,53
699,gangwon-do,6
700,dramatic,1
701,supply,9
702,chains,9
703,closely,23
704,fused,4
705,form,2
706,composition,1
707,fate,2
708,regional,47
709,hopes,56
710,provincial,16
711,cities,29
712,play,34
713,active,50
714,bridge,7
715,completed,4
716,preparations,6
717,yoon,21
718,presidential,2
719,opposition,6
720,establish,8
721,occasion,9
722,opportunity,39
723,upgrade,3
724,win-win,7
725,oriental,1
726,rise,1
727,mature,2
728,civil,2
729,law,18
730,code,1
731,legal,10
732,justice,15
733,rule,9
734,played,29
735,academic,16
736,enactment,2
737,kang,26
738,seong-guk,1
739,scholars,12
740,called,6
741,business,57
742,society,28
743,administration,7
744,ideology,5
745,bright,11
746,prospects,8
747,slowdown,1
748,choice,3
749,issues,29
750,symposium,1
751,keynote,13
752,status,52
753,significance,12
754,depth,5
755,professors,15
756,universities,13
757,yong-seok,1
758,jae-myung,1
759,deeply,18
760,exceeded,1
761,dollars,5
762,geopolitically,1
763,historically,1
764,deep,21
765,considerable,1
766,progress,47
767,imports,2
768,urea,1
769,peace,80
770,agenda,3
771,thousands,4
772,ha,7
773,policy,40
774,tae-kyung,2
775,young-je,1
776,focusing,9
777,democracy,3
778,lecture,43
779,next-generation,2
780,introducing,5
781,current,61
782,clarified,2
783,question-and-answer,1
784,ahn,26
785,byeong-gil,1
786,jeong-jae,1
787,yeo,3
788,han-koo,1
789,import,3
790,expo,11
791,october,53
792,head,46
793,ministry,104
794,energy,25
795,negotiation,11
796,headquarters,12
797,pending,2
798,building,18
799,hard,39
800,build,15
801,coordination,5
802,highly,33
803,appreciates,5
804,establishing,13
805,sea,24
806,pan-yellow,1
807,chungcheongnam-do,7
808,covid-19,118
809,governor,32
810,seung-jo,4
811,impact,16
812,facing,18
813,appealed,1
814,provide,31
815,climate,4
816,change,12
817,youth,34
818,prime,50
819,daegu,8
820,secretary-general,25
821,ban,11
822,ki-moon,13
823,su-seong,8
824,kwon,21
825,deeper,3
826,story,8
827,governance,7
828,scholarship,10
829,selection,2
830,'chinese,8
831,youthful,1
832,studying,14
833,sino-korean,6
834,expressed,75
835,days,12
836,ago,16
837,process,19
838,rigorous,1
839,attending,5
840,awarded,8
841,september,64
