视频链接,视频标题,观看次数,点赞次数,评论总数,作者名字,粉丝数量
https://www.youtube.com/watch?v=KW_t6P-nxjE,Call of Duty®: Mobile - Season 6 The Heat | Battle Pass Trailer,1755121,0,409,0,0
https://www.youtube.com/watch?v=RA3XiclLhgk,Call of Duty®: Mobile - Season 4 Wild Dogs | Battle Pass Trailer,234698,0,328,0,0
https://www.youtube.com/watch?v=L2fOvbTwSNg,Call of Duty®: Mobile - Season 10 Shadows Return | Battle Pass Trailer,269277,0,238,0,0
https://www.youtube.com/watch?v=5Zmc9whEdAo,Call of Duty®: Mobile - Season 1 Heist | Battle Pass Trailer,410533,0,301,0,0
https://www.youtube.com/watch?v=EMEsZfO_gb8,Call of Duty®: Mobile - Season 2 Task Force 141 | Battle Pass Trailer,368990,0,505,0,0
https://www.youtube.com/watch?v=-um9L_T5vIg,Call of Duty®: Mobile - Season 11 Final Snow | Battle Pass Trailer,191188,0,416,0,0
https://www.youtube.com/watch?v=pdAPf21waSk,Call of Duty®: Mobile - Season 3 Radical Raid | Battle Pass Trailer,154930,0,324,0,0
https://www.youtube.com/watch?v=poAd2RwHZRo,Call of Duty®: Mobile - Season 8 2nd Anniversary | Battle Pass Trailer,689481,0,800,0,0
https://www.youtube.com/watch?v=zRiu9snbIYk,Call of Duty®: Mobile - Season 9 Nightmare | Battle Pass Trailer,1918223,0,1849,0,0
https://www.youtube.com/watch?v=b_GALE9VzUk,Call of Duty®: Mobile - Season 7 Elite of the Elite | Battle Pass Trailer,458286,0,1597,0,0
https://www.youtube.com/watch?v=apVtQZNcAIc,Call of Duty®: Mobile - Season 5 In Deep Water | Battle Pass Trailer,1565482,0,3403,0,0
